chunk_size,k,total_tokens,precision_per_token,recall_per_token,config,combined_efficiency
10,1,10,29.846506975397407,5.465743953299156,C10-K1,9.239476993821928
10,3,30,7.44648382184814,3.980303279862169,C10-K3,5.187681141815701
50,1,50,6.912968585940941,6.8096933252861165,C50-K1,6.860942336425345
10,5,50,3.934811171132949,3.59217355309418,C10-K5,3.7556937188588893
100,1,100,2.9028953868565432,4.793838769008975,C100-K1,3.6160823970476113
150,1,150,1.5233318207278086,3.5785082450644103,C150-K1,2.1369762321614316
50,3,150,1.3616805042321283,3.5714042236627783,C50-K3,1.9716310472409497
200,1,200,1.1070610639531764,3.0471360764973987,C200-K1,1.6240758889412905
250,1,250,0.7258746988736544,2.616624879340183,C250-K1,1.1364799018890746
50,5,250,0.7007214472228576,2.864924631048475,C50-K5,1.1260310695928437
100,3,300,0.5731776342059347,2.680420726931199,C100-K3,0.9444049574711607
150,3,450,0.3011872323899368,1.895493279986172,C150-K3,0.5197828011823425
100,5,500,0.25490426273963646,1.8143422310158996,C100-K5,0.4470067439042703
200,3,600,0.1708754950902843,1.4582608047426187,C200-K3,0.30590569617374475
250,3,750,0.12171147604671025,1.2598229282558715,C250-K3,0.22197769042590948
150,5,750,0.11867746408469726,1.2484784960995337,C150-K5,0.21675107478067554
200,5,1000,0.0697502439738396,0.9470876132881637,C200-K5,0.12993141752083612
250,5,1250,0.04498364911939833,0.7794011544011545,C250-K5,0.08505811340313346
